
#The following shows the html-tag count of u01_A0.xml:
Character	0	=> 794
Character	1	=> 2306
Character	2	=> 5357
Character	3	=> 2075
Character	4	=> 1185
Character	5	=> 1040
Character	6	=> 966
Character	7	=> 839
Character	8	=> 845
Character	9	=> 770
Character	:	=> 9911
Character	;	=> 8027
Character	<	=> 87707
Character	=	=> 54661
Character	>	=> 87707
Character	?	=> 70
Character	@	=> 292
Character	A	=> 9898
Character	B	=> 803
Character	C	=> 260
Character	D	=> 199
Character	E	=> 458
Character	F	=> 4813
Character	G	=> 366
Character	H	=> 2146
Character	I	=> 2021
Character	J	=> 576
Character	K	=> 6262
Character	L	=> 1395
Character	M	=> 5663
Character	N	=> 320
Character	O	=> 400
Character	P	=> 205
Character	Q	=> 118
Character	R	=> 172
Character	S	=> 5036
Character	T	=> 7090
Character	U	=> 30
Character	V	=> 60
Character	W	=> 188
Character	X	=> 1
Character	Y	=> 441
Character	Z	=> 334
Character	[	=> 5222
Character	]	=> 5230
Character	^	=> 4
Character	a	=> 120348
Character	b	=> 15198
Character	c	=> 20376
Character	d	=> 51410
Character	e	=> 169603
Character	f	=> 55021
Character	g	=> 63843
Character	h	=> 85782
Character	i	=> 150812
Character	j	=> 645
Character	k	=> 5964
Character	l	=> 68866
Character	m	=> 28081
Character	n	=> 139652
Character	o	=> 108562
Character	p	=> 21759
Character	q	=> 1109
Character	r	=> 139664
Character	s	=> 57298
Character	t	=> 106689
Character	u	=> 21015
Character	v	=> 5882
Character	w	=> 13277
Character	x	=> 4097
Character	y	=> 22479
Character	z	=> 418
Character	§	=> 1
Character	Á	=> 8
Character	Æ	=> 1
Character	É	=> 1
Character	à	=> 91
Character	á	=> 507
Character	â	=> 1
Character	ä	=> 3
Character	å	=> 6
Character	æ	=> 20
Character	é	=> 5
Character	í	=> 4
Character	ï	=> 20
Character	ó	=> 1
Character	ú	=> 1
Character	œ	=> 5
Character	ά	=> 2
Character	ή	=> 1
Character	α	=> 4
Character	β	=> 6
Character	γ	=> 1
Character	δ	=> 1
Character	ζ	=> 1
Character	η	=> 3
Character	ι	=> 6
Character	λ	=> 7
Character	ν	=> 3
Character	ξ	=> 1
Character	ο	=> 9
Character	π	=> 6
Character	ρ	=> 5
Character	σ	=> 3
Character	τ	=> 4
Character	υ	=> 5
Character	χ	=> 1
Character	ύ	=> 4
Character	ְ	=> 1
Character	ִ	=> 1
Character	ֶ	=> 2
Character	ַ	=> 3
Character	ָ	=> 4
Character	ֹ	=> 1
Character	ּ	=> 7
Character	א	=> 1
Character	ב	=> 4
Character	ד	=> 2
Character	ה	=> 1
Character	ו	=> 3
Character	ח	=> 1
Character	י	=> 3
Character	פ	=> 1
Character	ץ	=> 1
Character	ק	=> 1
Character	ר	=> 4
Character	ء	=> 1157
Character	آ	=> 893
Character	أ	=> 2524
Character	ؤ	=> 202
Character	إ	=> 510
Character	ئ	=> 426
Character	ا	=> 12114
Character	ب	=> 18308
Character	ة	=> 3384
Character	ت	=> 4206
Character	ث	=> 700
Character	ج	=> 1460
Character	ح	=> 1760
Character	خ	=> 1055
Character	د	=> 3328
Character	ذ	=> 1028
Character	ر	=> 7442
Character	ز	=> 877
Character	س	=> 2201
Character	ش	=> 1097
Character	ص	=> 1016
Character	ض	=> 1027
Character	ط	=> 1440
Character	ظ	=> 179
Character	ع	=> 3491
Character	غ	=> 997
Character	ف	=> 1361
Character	ق	=> 2701
Character	ك	=> 1741
Character	ل	=> 8930
Character	م	=> 4570
Character	ن	=> 4632
Character	ه	=> 4232
Character	و	=> 3469
Character	ى	=> 2105
Character	ي	=> 4654
Character	ً	=> 622
Character	ٌ	=> 8305
Character	ٍ	=> 638
Character	َ	=> 37442
Character	ُ	=> 10567
Character	ِ	=> 11411
Character	ّ	=> 4519
Character	ْ	=> 10859
Character	ٰ	=> 245
Character	پ	=> 6
Character	ڤ	=> 2
Character	گ	=> 2
Character	ἰ	=> 3
Character	ὄ	=> 1
Character	ὐ	=> 1
Character	ὸ	=> 1
Character	ᾅ	=> 1
Character	—	=> 3
Character	―	=> 1716
Character	‘	=> 5
Character	’	=> 4
Character	“	=> 269
Character	”	=> 262
Character	↓	=> 1839
Character	�	=> 16
Total:	2613337


#The following shows the html-tag count of u03_t0.xml:
</G>	=> 2
</H>	=> 4
</L>	=> 52
</TEI.2>	=> 1
</body>	=> 1
</div1>	=> 1
</div2>	=> 104
</entryFree>	=> 618
</foreign>	=> 3337
</form>	=> 700
</head>	=> 104
</hi>	=> 4168
</itype>	=> 175
</orth>	=> 1090
</quote>	=> 30
</text>	=> 1
<?xml>	=> 1
<G>	=> 2
<H>	=> 4
<L>	=> 52
<TEI.2>	=> 1
<body>	=> 1
<div1>	=> 1
<div2>	=> 104
<entryFree>	=> 618
<foreign>	=> 3337
<form>	=> 700
<head>	=> 104
<hi>	=> 4168
